,Solothurn,Basel-Landschaft,Schwyz,Aargau,Ticino,Schaffhausen,Uri,Freiburg,Luzern,Geneve,Zug,Jura,Obwalden,Thurgau,Glarus,Basel-Stadt,Appenzell-Ausserrhoden,Nidwalden,Zurich,Appenzell-Innerrhoden,Neuchatel,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2018-12-31 00:00:00,8162,6500,5223,14992,6455,1311,786,5439,8422,11248,2983,908,501,5597,2594,5895,1005,1356,31165,146.0,2558,20531,7725,14497,18050,6288
2018-12-31 01:00:00,4301,2692,2082,6654,2480,686,526,2468,3423,4858,1269,405,193,2917,719,2532,457,617,11818,67.0,997,8983,4283,5752,7367,3591
2018-12-31 02:00:00,2525,1702,1398,4180,1745,455,408,1839,2385,3310,958,520,145,1921,472,1388,324,470,7462,94.0,834,6498,2459,4117,5128,2628
2018-12-31 03:00:00,2650,1890,1258,4230,1366,413,395,1893,2353,2685,763,330,155,2002,458,1485,504,432,7574,120.0,669,6590,1925,4237,5988,2087
2018-12-31 04:00:00,4923,3165,1672,7874,1945,727,381,2916,4441,4624,1314,593,196,3419,575,2321,1348,693,12632,252.0,1175,9417,2218,6397,7741,2960
2018-12-31 05:00:00,10506,7326,4079,18233,3969,1803,933,6937,10114,7108,3304,1064,663,7367,1249,5085,2000,1410,31767,412.0,2583,23993,3958,13421,13890,5292
2018-12-31 06:00:00,19750,14985,8797,33861,9248,3299,1806,13430,19048,9917,6829,2007,1428,13403,2507,10174,3332,2871,60475,743.0,5319,48886,8740,25640,27891,11811
2018-12-31 07:00:00,25412,21705,14340,46093,18065,4759,2816,19909,27764,16045,11369,3324,2565,18321,4647,16262,4645,5111,89237,965.0,8515,69868,16464,39867,48264,22554
2018-12-31 08:00:00,31661,26524,19290,56632,27742,6068,4823,27027,36415,25947,14322,4648,4028,23798,6254,19902,6116,7041,108803,1318.0,11737,93934,27292,53909,65684,41736
2018-12-31 09:00:00,43448,36618,27052,78630,42201,9329,6925,39146,51356,39791,20026,7073,5137,33213,8431,26603,9066,9455,144018,1914.0,18331,135408,44350,76166,97209,71916
2018-12-31 10:00:00,54884,48420,34066,100321,56520,12003,9112,51086,65064,53265,23399,9533,6645,41771,10743,34652,12133,12082,181585,2515.0,24338,175813,64571,97005,131587,99803
2018-12-31 11:00:00,59584,54517,37103,111466,59248,13306,8982,54335,72165,61266,27132,9701,7024,45507,13011,41104,12918,13533,208262,2904.0,27129,193644,77005,107189,144724,108975
2018-12-31 12:00:00,60752,54889,37286,113871,55584,13213,11073,49055,71097,61645,27119,8646,6500,44771,13337,44704,11954,13149,220409,2492.0,24081,191519,74700,107292,136439,99186
2018-12-31 13:00:00,63741,54546,40873,117349,56946,14202,10517,54372,76896,63505,28319,9962,7359,46940,14476,43738,12981,15089,221787,2942.0,26148,198397,75876,112385,141404,99619
2018-12-31 14:00:00,64182,54633,41764,115041,60340,13669,10269,54115,74856,67631,27894,9771,7005,47185,14798,43486,12552,14208,218464,3003.0,28286,198876,77901,112572,150203,105582
2018-12-31 15:00:00,62392,51287,39335,112018,60375,12656,9818,53164,72208,69287,27936,9754,6970,44510,13460,41334,12531,14148,214057,2904.0,27733,196579,80790,107610,149644,104025
2018-12-31 16:00:00,59384,49744,39040,107658,53414,12590,9012,48902,68497,64965,27120,9120,6557,44676,13123,39062,11997,13659,207413,2864.0,25873,181894,64042,102895,141477,84713
2018-12-31 17:00:00,55232,45666,33603,99165,40652,10907,7534,46213,64602,54844,25307,8226,5546,41012,11178,34622,11096,12131,187422,2586.0,23415,157444,44906,89859,127037,62389
2018-12-31 18:00:00,48456,41716,27338,86021,35196,9939,5526,46703,54454,49641,20532,8798,4142,36876,8088,32274,9452,9115,162079,1931.0,23585,136195,36934,77680,115291,54015
2018-12-31 19:00:00,29416,26342,17157,51807,33274,6308,3237,29051,34127,49294,12736,7103,2481,22982,4681,23931,5648,5206,115034,1234.0,15968,83382,25164,48537,87529,38631
2018-12-31 20:00:00,18685,15187,10679,32802,17810,4055,2129,12586,20874,31072,7643,2433,1276,15310,2721,14924,3492,3415,77523,671.0,7102,51156,14457,30857,46916,19608
2018-12-31 21:00:00,16510,13971,9712,29161,12073,3536,1747,9713,18650,22511,6712,1812,1048,12682,2141,14694,2733,3181,72464,585.0,4975,46845,11726,26978,33723,14072
2018-12-31 22:00:00,16408,14708,9227,29140,14121,4203,1671,10683,19905,24543,6898,2029,1015,12367,1902,17089,3119,3121,85560,620.0,5727,49746,12400,27219,33375,14836
2018-12-31 23:00:00,11885,11487,7655,22340,13376,4073,1184,8769,18293,25486,5469,1538,889,9128,1340,18167,2967,2564,82823,633.0,4635,43331,12241,23513,34636,15624
2019-01-01 00:00:00,20475,19340,12030,38874,24163,6177,1853,16805,32631,46540,9008,2742,1643,16635,2268,32775,4608,3792,154993,933.0,8072,73558,17044,39314,61429,23573
2019-01-01 01:00:00,26223,27173,14440,51618,21771,5721,1922,20629,32560,34576,11708,3901,2102,21329,3246,25687,5393,4711,111763,1080.0,9476,74237,17926,41764,56091,23513
2019-01-01 02:00:00,19090,17950,10205,36975,15851,4392,1462,17538,24106,24764,8171,3550,1406,15817,2382,15835,3337,3306,78731,656.0,8754,53297,11238,29761,45895,17639
2019-01-01 03:00:00,12230,10675,6050,21931,9668,3029,985,11791,15903,17192,5012,3061,897,9652,1472,10516,1805,2016,52637,404.0,6576,35143,7362,18837,30543,11787
2019-01-01 04:00:00,7962,6693,4109,14521,6149,2223,752,7782,10433,13197,2708,2257,515,5418,957,7356,1031,1157,35474,235.0,3921,22067,5231,12378,21361,8378
2019-01-01 05:00:00,8270,5956,2907,12715,4777,1842,732,6945,7987,11640,2627,1657,520,4985,910,6431,1053,1137,32263,183.0,3054,20298,3998,10830,19069,6609
2019-01-01 06:00:00,9054,6467,5360,14441,4588,1953,1255,6937,8956,10071,3556,1409,771,6830,2076,5872,1627,1491,31336,387.0,3454,25583,5180,14624,16222,7102
2019-01-01 07:00:00,9675,6118,11539,15770,5405,1633,3769,7194,12435,8989,4944,1278,2256,6604,7060,4883,2001,4660,32474,645.0,3082,30178,14317,30021,18503,9470
2019-01-01 08:00:00,11279,7274,15188,18494,8430,1943,5883,8438,15679,10606,6852,1356,4113,7508,9034,5841,2317,6890,37910,791.0,3366,38396,31989,35970,22607,19586
2019-01-01 09:00:00,16205,11697,18559,27030,14555,2948,7266,12247,21433,13859,9205,1896,4861,11187,9519,8708,3662,7509,51744,1197.0,5041,54462,48340,42851,32598,34955
2019-01-01 10:00:00,23026,18013,24143,36837,24695,4485,8860,19072,29764,19842,11935,3294,5923,16394,11429,12782,6979,9708,71442,2394.0,8012,78792,65346,59021,50770,53821
2019-01-01 11:00:00,32725,25682,30660,50311,34589,5743,11474,27213,39219,26951,15865,5182,7231,21885,13342,17251,10217,12759,91747,3878.0,11585,105032,78236,73941,71205,71828
2019-01-01 12:00:00,38376,31025,34146,59491,32682,7103,12489,28669,43498,31508,17496,4673,7468,24954,14787,22344,11190,13520,107770,4432.0,12199,120745,81100,83301,77827,76991
2019-01-01 13:00:00,45433,38019,38778,72231,35777,8833,13399,33790,52312,33650,20151,5083,8105,30470,15853,25954,12208,15128,127826,4682.0,14001,145256,85291,94147,85036,81601
2019-01-01 14:00:00,50810,41555,42514,80641,43750,10342,13660,38427,56646,37964,21449,6059,8466,34385,17098,28248,12795,16133,143941,4532.0,16871,157040,90253,101958,97727,88749
2019-01-01 15:00:00,50214,41685,44321,84144,46447,10276,14997,41377,59150,42417,24130,6685,9071,35655,19123,28763,11650,16508,153021,4026.0,18267,160734,94392,106727,106972,91031
2019-01-01 16:00:00,50066,40235,41202,82532,43535,9844,13631,41562,59596,44654,23799,7101,7750,35515,18403,28855,11201,16233,148214,3314.0,17942,159794,78572,104266,103287,77320
2019-01-01 17:00:00,43342,34318,33523,71746,37346,8170,10142,35215,49058,43176,20744,6411,6016,30111,15052,24770,7887,13687,127049,2096.0,15096,126860,53245,84923,91684,53139
2019-01-01 18:00:00,35196,27126,26571,59824,28331,6355,6828,27314,40447,37878,16735,5073,3773,23048,11937,21072,5389,9302,104456,1306.0,11646,93242,34135,67314,73182,37767
2019-01-01 19:00:00,28711,22322,20032,48332,24059,5384,4174,21003,39868,32051,12102,3610,2458,19331,9540,17242,4378,6423,87836,990.0,9118,72674,22992,52801,55305,28747
2019-01-01 20:00:00,23161,17845,16045,38919,17348,4299,3670,16241,35269,25407,9690,3081,2061,16261,6553,14097,3414,4623,73806,729.0,7310,72659,17323,39170,45098,21485
2019-01-01 21:00:00,18988,14348,10383,31975,13254,3057,2156,12863,21785,20048,8055,2355,1692,11899,3969,11065,2296,4056,60335,441.0,5479,51029,13398,27176,33540,16554
2019-01-01 22:00:00,14511,10125,7148,24858,9230,2443,1369,10680,15297,17081,6208,1824,975,9311,2541,8661,1535,2326,46695,230.0,4480,38097,9531,18845,27680,10343
2019-01-01 23:00:00,8976,5738,3991,15655,5590,1511,823,6386,9386,10358,3599,1095,605,5552,1046,4737,1023,1470,29065,174.0,2639,22997,5045,10670,18257,6057
2019-01-02 00:00:00,7643,4660,2563,13042,4421,1235,687,4847,8467,8238,2388,761,410,4348,806,3868,582,1095,26520,87.0,2205,19153,3139,8481,15582,4330
2019-01-02 01:00:00,3788,2067,1323,5942,1839,554,466,2206,3463,3628,1080,400,246,2329,400,1903,319,597,11382,47.0,940,8684,1641,4067,6897,2060
2019-01-02 02:00:00,2448,1475,930,4281,1293,356,254,1605,2752,2416,804,236,186,1737,277,1197,234,449,8139,35.0,666,6205,1075,2920,4771,1499
2019-01-02 03:00:00,2703,1650,1045,4545,1363,319,451,1663,3123,2306,898,287,183,1611,397,1303,248,504,8565,60.0,594,5615,1198,3378,4619,1425
2019-01-02 04:00:00,4097,3455,1726,7143,2089,578,450,2537,3814,3929,1529,315,184,2559,543,2486,619,724,11886,103.0,933,6330,1489,6006,5964,2339
2019-01-02 05:00:00,7259,9705,3587,12088,5449,1068,1033,3809,6438,8058,2533,599,466,4586,1068,6368,1477,1074,20875,255.0,1566,10845,3335,12185,8708,4768
2019-01-02 06:00:00,14331,25588,9717,22384,14916,2121,2633,8124,12429,15207,5173,1225,1060,9887,2782,17175,3630,2587,34395,782.0,3993,22757,9155,30617,17351,12748
2019-01-02 07:00:00,18402,34553,15310,29522,27615,2658,3861,12393,16785,26457,8182,1620,1781,12427,4846,27805,4677,3933,48017,1006.0,5985,32013,16129,43942,29776,22444
2019-01-02 08:00:00,24202,32286,18502,39567,31690,4247,5396,18214,25390,39045,11703,2403,2932,16078,6186,27709,4713,5816,70491,1133.0,8213,49258,23217,50446,42554,36374
2019-01-02 09:00:00,35830,38150,25579,59955,40060,6831,7635,27397,37837,43513,16395,4249,4072,23639,8852,28865,6431,8291,103523,1419.0,11929,79727,35756,68414,61600,59242
2019-01-02 10:00:00,47475,46013,32641,77063,49857,8893,9864,38400,50845,51754,20240,5788,5307,29917,12446,33974,7885,11244,134458,1781.0,16914,111088,53387,88306,86983,82739
2019-01-02 11:00:00,54102,52931,38841,88935,52553,10818,10460,46271,59368,60904,24249,7071,6185,34175,15459,41910,9225,13513,156193,2430.0,20881,136149,66515,105814,104431,93287
2019-01-02 12:00:00,57072,55294,39807,95078,51413,11771,10253,45029,60214,66124,24923,5504,5610,36011,15941,46094,8846,12984,171676,2215.0,20079,147932,65294,107890,99108,87136
2019-01-02 13:00:00,63387,59909,46226,110242,58081,13707,10739,55106,73164,71107,28703,7230,6607,41609,17282,48027,11250,14668,197493,2799.0,23597,170668,67414,124907,109028,91777
2019-01-02 14:00:00,64078,60699,45888,112804,60187,14105,9985,58168,74233,74705,31293,7847,6493,43529,17058,48595,11072,14433,209818,2727.0,26777,172447,68183,125739,124821,98570
2019-01-02 15:00:00,61787,61987,45007,111357,61240,13795,10693,57735,72957,76186,30714,7899,6807,44449,16784,50003,11016,14462,207039,2578.0,27196,163631,65706,122304,128751,98568
2019-01-02 16:00:00,65011,68968,45663,111988,59824,13136,10778,55953,73055,78807,28827,8306,6333,43394,16815,55162,11479,14664,204244,2609.0,27024,159873,60815,126814,126092,89042
2019-01-02 17:00:00,57891,66688,42358,101627,55514,11214,9760,49401,62117,78293,27880,7765,5336,40340,15377,54244,10807,12542,186573,2269.0,24439,137607,52508,111966,116196,70696
2019-01-02 18:00:00,47225,46562,31418,79350,43405,8322,7782,38220,47209,63632,26039,6322,3721,31890,10894,39187,7931,9264,142860,1840.0,18884,123513,37724,82114,92318,51811
2019-01-02 19:00:00,36275,32151,22439,62206,27746,6699,5909,26826,35088,45549,15340,4743,2675,24295,8640,25894,5659,6574,112407,1123.0,13513,86611,27003,59198,69223,32778
2019-01-02 20:00:00,27519,22581,16174,47479,20114,5322,4466,19529,26382,30677,11603,3861,2132,18591,6709,18335,4157,5119,92607,889.0,8701,65734,17942,42977,52554,24618
2019-01-02 21:00:00,21431,18466,13968,37196,14853,3801,3617,15244,21726,24669,9499,2615,1352,14403,4938,15003,3254,3886,73173,644.0,7351,51513,13369,34750,41690,18846
2019-01-02 22:00:00,17551,13440,9180,28180,11118,2925,2204,12226,16678,20200,7282,2368,1100,11092,2854,11418,2471,3263,54425,446.0,7417,42566,12556,24788,32611,13058
2019-01-02 23:00:00,9840,7859,5338,16198,7035,1611,950,7502,9229,13867,4332,1387,608,6519,1698,6358,1400,1533,32649,304.0,3841,22216,6265,14456,22057,8066
2019-01-03 00:00:00,7773,5687,3503,12400,5949,1082,1108,5113,7144,11153,2516,874,399,4433,1181,4974,798,1126,26159,121.0,2827,17994,4362,9828,17101,5057
2019-01-03 01:00:00,3218,2152,1701,5009,2596,518,644,2245,2775,4504,1068,337,159,2116,685,2002,324,581,9670,67.0,1031,7063,1909,4594,6781,2400
2019-01-03 02:00:00,2589,1689,1025,3868,1475,378,418,1619,2096,3063,751,273,122,1520,326,1421,307,450,7014,79.0,691,5407,1627,3231,5067,1818
2019-01-03 03:00:00,2980,2083,1280,4988,1500,446,363,1900,2557,2589,837,355,155,1795,406,1397,411,485,8458,68.0,748,6104,1447,4124,5149,1714
2019-01-03 04:00:00,6095,4159,2528,10319,2430,978,741,3442,5848,4647,1774,630,300,4056,772,2889,865,692,16316,166.0,1478,11273,2370,8259,8409,3053
2019-01-03 05:00:00,16980,13126,6992,30559,6140,3186,1543,9165,16259,10839,5752,1472,1119,11379,2076,8035,2452,2411,50922,486.0,3795,35455,5078,21649,19293,6843
2019-01-03 06:00:00,44141,37738,20015,76925,16822,7621,3867,25226,44420,22504,17078,3647,3275,29945,5750,23656,7177,6995,128660,1371.0,10373,94850,15038,61417,53176,19129
2019-01-03 07:00:00,55562,52114,31676,100487,32380,10878,6481,34858,60529,44803,29976,5535,5894,38896,10893,39526,9100,12298,191169,1907.0,16709,134336,27502,91299,88859,33056
2019-01-03 08:00:00,47799,44428,31561,83932,36533,9506,8203,33674,52981,61112,26779,5087,6934,32403,12185,37763,7084,12759,171028,1728.0,15826,129830,38798,83055,93958,46348
2019-01-03 09:00:00,51862,45226,32938,88805,41213,10041,9038,38343,54269,55164,23640,7048,7010,36353,11669,34131,8148,13114,165860,1846.0,18348,146711,52246,86905,104206,67794
2019-01-03 10:00:00,56692,49420,35634,99609,48191,11239,11164,46114,61526,58022,24788,8504,7295,40449,12939,37393,9412,13883,179551,2381.0,21742,169471,65611,96324,124541,85718
2019-01-03 11:00:00,60671,54461,37746,107970,50325,12880,10693,49950,67914,65697,27405,9564,7429,42856,13583,43544,10660,14875,208105,2712.0,24787,186310,72474,107493,135712,94584
2019-01-03 12:00:00,62343,55956,37402,110418,50132,12766,10936,46475,69410,76422,29112,8325,6878,43200,12664,48159,10410,13489,227079,2677.0,23450,188466,70023,108560,130624,87434
2019-01-03 13:00:00,69297,62796,42651,123892,56534,14335,11912,56649,80438,79999,31599,11064,7946,49914,13899,50349,12991,15141,236970,3478.0,28366,212950,72231,121781,146570,91721
2019-01-03 14:00:00,71015,61358,42741,124035,57035,13793,11235,57389,79725,76804,30816,11295,8533,49337,15047,48804,12453,15772,225954,3316.0,29518,218348,73661,118972,155782,96177
2019-01-03 15:00:00,73165,63110,44979,127060,57327,14322,12104,59053,83345,76326,31555,11263,9206,51280,15985,49862,12119,17246,232948,3283.0,30937,226301,75457,122536,158938,99405
2019-01-03 16:00:00,82220,72460,48799,146305,58182,15581,12014,63747,92668,81074,37325,12145,9501,57629,17398,57413,13938,18863,272361,3291.0,33305,242684,65480,139555,170824,90168
2019-01-03 17:00:00,84161,76815,50091,154387,56048,16772,11234,63800,93075,90592,42589,11175,8574,61433,16537,61381,14605,18797,293357,3137.0,32171,226942,52739,140399,169771,74253
2019-01-03 18:00:00,62791,53948,36766,111222,45284,12446,7382,47319,66118,78405,30324,8779,5225,44843,12144,43992,10399,12907,212911,2186.0,23897,158127,36587,99257,130517,54950
2019-01-03 19:00:00,40738,35223,22106,70864,29109,7768,4494,29627,40685,50982,17916,5652,3237,28671,7174,28526,6342,6867,137724,1273.0,14559,99543,23156,61965,78948,31971
2019-01-03 20:00:00,29324,22864,15222,49123,20918,5123,3345,19982,27801,33310,11687,3683,2063,19111,4796,19020,4427,4571,98855,830.0,9782,68988,15543,42424,50543,21577
2019-01-03 21:00:00,22161,17718,11366,37182,16272,3824,2576,15181,22776,25756,9587,2672,1518,15153,3457,14114,3362,3658,74343,642.0,7360,53299,12267,32790,41282,17473
2019-01-03 22:00:00,17270,14304,8745,29741,12033,3004,1880,13013,17983,22060,7436,2298,1173,11602,2826,12226,2869,2787,59746,552.0,6557,42664,10117,25479,33766,14089
2019-01-03 23:00:00,10932,8626,4890,17839,8150,1809,1053,8698,10382,15625,4171,1416,675,7311,1259,7483,1633,1670,35525,300.0,4176,25702,5967,14795,23476,8847
2019-01-04 00:00:00,7970,5891,3197,13116,7172,1064,1058,5557,7810,12644,2567,1017,371,4704,1025,5140,993,1153,27632,168.0,3158,18623,4008,10278,17727,5483
2019-01-04 01:00:00,3296,2411,1401,5470,2738,543,536,2367,3055,4860,1152,444,238,2090,408,2129,419,670,10364,74.0,1177,7134,2081,4674,7401,2378
2019-01-04 02:00:00,2839,1979,1166,4250,1745,292,480,1824,2209,3375,879,251,115,1474,348,1589,275,381,7617,78.0,753,5536,1313,3286,5416,1772
2019-01-04 03:00:00,2980,2357,1151,4838,1818,450,564,1948,2868,3152,976,298,107,1925,342,1687,372,423,8859,83.0,814,6179,1262,4086,5697,1752
2019-01-04 04:00:00,5966,4235,2424,10420,2299,1140,770,3349,5966,5020,1872,608,260,4209,618,2873,892,875,16082,184.0,1452,10362,1813,7995,8600,3103
2019-01-04 05:00:00,16412,12784,6266,29429,6030,3084,1394,8814,15461,10715,5352,1501,1085,10964,1792,7897,2283,2278,48047,469.0,3715,32541,4540,20235,18748,6614
2019-01-04 06:00:00,40003,35392,18083,72293,16505,7208,3613,23853,41220,22321,16110,3681,2953,27854,5004,22468,6698,6352,121280,1277.0,9816,88565,14074,56413,49808,17510
2019-01-04 07:00:00,51901,50935,27832,93727,31536,10426,5476,32924,57253,44035,27448,5482,5280,37063,8178,38538,8702,10984,180561,1727.0,16015,126250,24367,81212,84585,31297
2019-01-04 08:00:00,46414,43648,28336,82684,36324,9529,6421,32295,51959,61526,26082,5319,6202,31772,9105,37100,7239,11270,171233,1593.0,15654,124014,30968,75321,91159,43716
2019-01-04 09:00:00,50672,46596,30797,88841,41470,9941,8132,38268,54874,56818,24089,6899,6346,35558,9932,34981,8075,11041,172396,1871.0,19292,142184,44377,82650,103201,63600
2019-01-04 10:00:00,57406,51521,35346,100800,48670,11657,9742,45453,62466,59799,25165,8375,6789,40157,11773,39143,9359,12612,188962,2216.0,22729,166055,58344,96178,122073,81408
2019-01-04 11:00:00,63110,58485,38616,111143,51491,13336,10056,50985,71536,70314,28732,9573,6992,44324,13068,46397,10608,14118,221763,2651.0,25848,185869,66620,109867,138206,88788
2019-01-04 12:00:00,64804,59729,39587,114645,50751,12915,10274,47995,72080,80076,29884,8488,6753,44805,13541,50054,10013,13902,240266,2438.0,24314,188441,65568,112662,134855,82386
2019-01-04 13:00:00,73480,66608,45693,131551,58256,15136,11474,58438,84164,82406,34020,11050,7923,51999,15530,52615,12824,15635,254913,3307.0,29014,214839,69510,129226,149572,89132
2019-01-04 14:00:00,75074,67042,47442,133766,58367,14856,11799,59823,84083,81534,33307,11223,8568,52149,16459,52903,12445,16589,248780,3117.0,30762,221455,72070,128614,160421,94724
2019-01-04 15:00:00,78080,69698,49389,139847,59779,15470,11957,61632,87971,82312,34845,11522,9491,54756,17078,54588,13087,17746,257454,3201.0,32028,230537,72425,132964,168420,97290
2019-01-04 16:00:00,88098,76826,53442,156464,59651,17162,11986,67521,97709,87274,40407,12809,9311,61900,18865,59480,14523,19396,291785,3041.0,35240,247648,64690,149537,180500,90391
2019-01-04 17:00:00,84593,75433,51207,154832,58701,17004,11146,65729,95222,93410,42313,11726,8357,61484,18275,60499,14819,18093,299747,3180.0,32948,226634,54713,143548,175086,74996
2019-01-04 18:00:00,67850,56882,39914,118648,45756,12764,8183,52489,70586,77138,33198,9238,5376,47163,14182,45001,10984,12887,224062,2289.0,24293,166682,39921,109080,135711,56010
2019-01-04 19:00:00,44397,37901,25761,77197,30550,8583,5860,35434,46849,55690,20144,6444,3519,31810,9576,31244,7016,8145,150594,1605.0,15937,111127,27319,72501,92500,39278
2019-01-04 20:00:00,32585,25883,18820,55504,21663,5786,4386,22628,32296,35170,13284,3948,2447,21962,6723,21503,4645,5815,109819,849.0,10543,79595,18358,51320,61239,26646
2019-01-04 21:00:00,26551,20835,13921,43591,19360,4858,3165,19752,27269,29217,10735,3185,1799,17444,4988,18267,4048,4398,89049,750.0,8761,65605,14387,41322,49443,20586
2019-01-04 22:00:00,25586,19388,12290,41316,18972,4193,2432,21319,24584,25913,9516,3899,1564,17233,3781,18109,3389,3857,88033,762.0,8098,61147,11580,36919,44146,17045
2019-01-04 23:00:00,18453,14280,8239,30284,11689,2942,1908,13588,17833,20307,7365,2453,1151,11556,2273,11623,2614,2859,57429,505.0,6513,41504,7903,24416,33202,11494
2019-01-05 00:00:00,15686,11922,6559,26511,11799,2422,1929,11036,17174,19170,5861,2193,895,9639,1726,10696,1993,2408,54297,313.0,5570,35943,6016,21415,30067,8797
2019-01-05 01:00:00,7513,5554,3193,12810,5917,1319,1102,5235,7607,9650,2702,1189,389,5388,848,5449,1138,1367,23826,253.0,2821,15587,3147,11469,14301,4748
2019-01-05 02:00:00,4816,3928,2297,8649,3562,877,1068,3552,5557,6402,1771,661,306,3660,572,3783,689,1124,16309,155.0,1726,10376,2355,7339,9594,3613
2019-01-05 03:00:00,3765,3259,1577,6269,2634,661,853,2678,4213,4836,1349,473,174,2742,432,3084,601,906,13546,185.0,1284,8567,2107,5913,8245,2845
2019-01-05 04:00:00,4537,3847,1743,7707,2484,897,766,2927,4829,6211,1503,470,208,3151,520,3422,685,855,14569,151.0,1386,8865,1849,6136,8519,3272
2019-01-05 05:00:00,7290,6047,3111,12361,4064,1361,1163,4970,6999,8207,2390,867,458,4767,940,4893,978,1285,23008,195.0,2220,17115,3396,9550,12068,4885
2019-01-05 06:00:00,13227,9667,6405,20637,7467,2177,2097,9459,12606,10570,4690,1425,1026,8563,1974,6799,2120,2317,36670,374.0,3645,32096,6648,17957,19758,9851
2019-01-05 07:00:00,21378,15712,12983,35537,12847,3583,4109,15714,23122,16358,9262,2510,2205,14348,4856,10535,3232,4889,60504,785.0,6133,54511,13191,34193,36393,18852
2019-01-05 08:00:00,34541,26525,21518,56948,23748,6252,6281,24540,37105,29109,14783,3817,3696,23767,8039,18158,5537,7349,101843,1430.0,10410,86707,25179,57549,59701,36456
2019-01-05 09:00:00,47886,39612,27204,81933,36187,9167,7870,37473,49630,43074,20218,6229,5026,33829,8823,27350,7930,9591,144411,1960.0,16657,127833,38854,77217,90662,57040
2019-01-05 10:00:00,58467,50140,34058,101734,47894,11583,8757,49354,62750,57500,24951,8373,5903,40340,12822,36156,9269,11581,181739,2017.0,23241,162984,49864,97468,125499,75898
2019-01-05 11:00:00,63848,57087,36902,113446,51755,13238,9273,54539,69957,68446,27659,9487,6250,44859,13492,41527,9982,12794,203979,2396.0,26715,180099,55750,105418,145957,79659
2019-01-05 12:00:00,64222,56684,35207,112216,45567,12690,8454,47631,66239,70065,26621,7722,5732,41898,13108,42522,9063,11977,207876,2081.0,23545,174997,51096,102164,134819,70159
2019-01-05 13:00:00,66191,59969,36506,116819,49807,12880,8640,52564,71956,70837,28053,8965,5746,43870,13673,45381,9576,12342,217530,2102.0,24994,184514,50425,104589,140412,72828
2019-01-05 14:00:00,68256,60418,37193,121936,57047,12924,8294,55786,72368,78598,28327,10188,6151,46072,13611,47513,9667,13084,223793,2075.0,27729,190847,50886,106849,154169,78637
2019-01-05 15:00:00,65215,59513,38651,117827,58721,13103,9081,54677,69168,80510,28569,10168,5811,44578,14133,47761,9246,12287,224479,2104.0,28633,187357,49291,106677,155690,75005
2019-01-05 16:00:00,65996,57305,38143,119389,55389,12674,9022,50017,66469,77996,29571,10202,5921,45374,13164,45224,9820,13478,227830,2220.0,27547,180179,44333,103730,149116,67046
2019-01-05 17:00:00,61410,53918,36147,110397,47983,11202,8902,44477,58137,74581,27419,8530,5281,40885,10933,42267,9285,12317,207059,1969.0,25295,157364,35765,91944,138326,54553
2019-01-05 18:00:00,46755,43103,28110,86464,40114,8941,6999,38649,47048,63569,22971,7246,4020,32043,10709,34052,7029,9186,166928,1509.0,20864,116398,25797,71854,112380,39031
2019-01-05 19:00:00,32605,28053,18969,61218,28553,6115,4969,26922,33327,46509,16754,5865,2305,23272,6295,22378,5302,5814,122008,1075.0,13592,80048,18241,51425,73900,28756
2019-01-05 20:00:00,27455,21181,14667,48738,20547,4972,3319,19977,28333,33468,11406,3666,1685,19005,5031,17874,4129,4672,97449,835.0,9762,63931,13198,42202,53621,21708
2019-01-05 21:00:00,24676,19667,12855,41833,19770,4433,3524,17997,24513,28993,12100,3340,1473,16822,4629,16866,3819,3835,85008,719.0,8567,61223,11389,37162,48967,18460
2019-01-05 22:00:00,25583,18443,11942,43277,21322,4260,2690,19404,25866,31080,13941,3388,1779,15356,3638,16447,3578,4522,87867,715.0,9611,74021,10608,34525,51213,15367
2019-01-05 23:00:00,20166,14866,8907,34218,15266,3203,2984,15537,19468,23037,8661,2644,1262,11967,2467,12878,2899,3721,66482,478.0,7264,47200,7220,26326,39398,11761
2019-01-06 00:00:00,19213,14693,7974,33009,16374,3128,3718,13907,22237,23678,7626,2893,1436,10786,2132,13232,2387,4273,68234,388.0,7188,43686,6473,24928,38930,9954
2019-01-06 01:00:00,9649,7867,4689,17426,8087,1828,1456,6823,12319,13003,4389,1878,687,6340,1172,7413,1478,2473,31190,332.0,3887,20491,3485,13913,19911,5523
2019-01-06 02:00:00,6564,5250,2861,11743,4861,1253,1095,5149,9211,7852,3029,1183,478,4117,745,4665,964,1489,22254,209.0,2745,14803,2487,9584,13314,4341
2019-01-06 03:00:00,4411,4100,2303,8205,3543,936,1077,3786,7326,5932,2236,885,298,3203,714,3617,842,1012,18505,210.0,1900,11685,2741,7766,10519,3250
2019-01-06 04:00:00,3868,3555,1977,7408,3290,877,904,3266,5790,6360,1721,769,251,2983,622,3717,707,1086,16553,209.0,1796,9482,2136,7125,10171,3169
2019-01-06 05:00:00,4530,4049,2240,8105,3254,961,1204,3479,5101,7626,1896,656,395,3407,736,3623,859,1158,18604,188.0,1653,11239,2741,7710,10051,3211
2019-01-06 06:00:00,7452,5725,4077,11839,5240,1417,1288,5789,7861,8552,3198,921,646,5089,1351,4594,1574,1535,24896,299.0,2551,19722,4616,11912,13458,5787
